height,block_time,block_size,num_txs,num_validators,time_since_prev_block
1,1721056542.892037,1310,0,1
2,1721056584.179125,3157,1,1,41.28708815574646
3,1721056585.233147,3025,1,1,1.0540218353271484
4,1721056586.301946,3609,2,1,1.0687990188598633
5,1721056587.353247,3693,2,1,1.0513010025024414
6,1721056588.405477,3609,2,1,1.0522301197052002
7,1721056589.45679,3693,2,1,1.0513129234313965
8,1721056590.508772,3609,2,1,1.0519819259643555
9,1721056591.561119,3693,2,1,1.052347183227539
10,1721056592.6116,3610,2,1,1.050480842590332
11,1721056593.661998,3695,2,1,1.0503981113433838
12,1721056594.712965,3611,2,1,1.0509669780731201
13,1721056595.764041,3695,2,1,1.0510759353637695
14,1721056596.815194,3611,2,1,1.0511529445648193
15,1721056597.866189,3695,2,1,1.050995111465454
16,1721056598.917975,3611,2,1,1.051785945892334
17,1721056599.970938,3695,2,1,1.0529630184173584
18,1721056601.025275,3611,2,1,1.0543370246887207
19,1721056602.076749,3695,2,1,1.0514740943908691
20,1721056603.128808,3611,2,1,1.0520589351654053
21,1721056604.179526,3695,2,1,1.050718069076538
22,1721056605.231256,3611,2,1,1.0517299175262451
23,1721056606.283113,3695,2,1,1.0518569946289062
24,1721056607.333303,3611,2,1,1.0501899719238281
25,1721056608.387629,3695,2,1,1.054326057434082
26,1721056609.43731,3611,2,1,1.0496809482574463
27,1721056610.488068,3695,2,1,1.0507581233978271
28,1721056611.539648,2719,1,1,1.0515799522399902
29,1721056612.591461,3611,2,1,1.0518128871917725
30,1721056613.641818,3695,2,1,1.0503571033477783
31,1721056614.692968,3611,2,1,1.051149845123291
32,1721056615.744818,3695,2,1,1.0518500804901123
33,1721056616.803632,3611,2,1,1.0588140487670898
34,1721056617.854473,3695,2,1,1.0508410930633545
35,1721056618.904752,3611,2,1,1.050278902053833
36,1721056619.95517,3693,2,1,1.0504179000854492
37,1721056621.00654,3611,2,1,1.0513701438903809
38,1721056622.058822,3693,2,1,1.0522818565368652
39,1721056623.110543,3611,2,1,1.0517210960388184
40,1721056624.160921,3695,2,1,1.0503780841827393
41,1721056625.21705,3611,2,1,1.056128978729248
42,1721056626.26892,3695,2,1,1.0518698692321777
43,1721056627.319313,3611,2,1,1.0503931045532227
44,1721056628.368979,3695,2,1,1.049665927886963
45,1721056629.420022,3611,2,1,1.0510430335998535
46,1721056630.470817,3695,2,1,1.050795078277588
47,1721056631.521568,3611,2,1,1.050750970840454
48,1721056632.5731,3695,2,1,1.0515320301055908
49,1721056633.62362,3611,2,1,1.0505199432373047
50,1721056634.675405,3695,2,1,1.0517849922180176
51,1721056635.725513,3611,2,1,1.0501079559326172
52,1721056636.776966,3695,2,1,1.0514531135559082
53,1721056637.827665,3611,2,1,1.05069899559021
54,1721056638.879851,3695,2,1,1.0521860122680664
55,1721056639.931714,3611,2,1,1.0518629550933838
56,1721056640.982605,2719,1,1,1.0508909225463867
57,1721056642.034323,3695,2,1,1.05171799659729
58,1721056643.085619,3611,2,1,1.0512959957122803
59,1721056644.138263,3695,2,1,1.0526440143585205
60,1721056645.188164,3611,2,1,1.049901008605957
61,1721056646.240544,3695,2,1,1.052380084991455
62,1721056647.291268,3611,2,1,1.0507240295410156
63,1721056648.342863,3693,2,1,1.0515949726104736
64,1721056649.393488,3611,2,1,1.0506248474121094
65,1721056650.443337,3695,2,1,1.049849033355713
66,1721056651.493923,3611,2,1,1.0505859851837158
67,1721056652.544802,3695,2,1,1.0508790016174316
68,1721056653.599205,3611,2,1,1.0544030666351318
69,1721056654.650457,3695,2,1,1.0512518882751465
70,1721056655.700684,3611,2,1,1.050227165222168
71,1721056656.752417,3695,2,1,1.0517330169677734
72,1721056657.805,3611,2,1,1.0525829792022705
73,1721056658.857287,3695,2,1,1.0522868633270264
74,1721056659.913088,3611,2,1,1.0558011531829834
75,1721056660.971536,3695,2,1,1.0584478378295898
76,1721056662.022222,3611,2,1,1.0506861209869385
77,1721056663.073769,3693,2,1,1.0515470504760742
78,1721056664.123595,3611,2,1,1.04982590675354
79,1721056665.175029,3695,2,1,1.05143404006958
80,1721056666.227113,3611,2,1,1.052083969116211
81,1721056667.277006,3695,2,1,1.0498929023742676
82,1721056668.327647,3611,2,1,1.0506410598754883
83,1721056669.378892,3695,2,1,1.0512449741363525
84,1721056670.429689,3609,2,1,1.0507969856262207
85,1721056671.479875,2719,1,1,1.0501861572265625
86,1721056672.531458,3695,2,1,1.0515828132629395
87,1721056673.581536,3611,2,1,1.0500781536102295
88,1721056674.633147,3695,2,1,1.0516109466552734
89,1721056675.683181,3611,2,1,1.0500340461730957
90,1721056676.734891,3695,2,1,1.0517098903656006
91,1721056677.786669,3609,2,1,1.0517780780792236
92,1721056678.83765,3695,2,1,1.050981044769287
93,1721056679.888281,3611,2,1,1.050631046295166
94,1721056680.939412,3695,2,1,1.051131010055542
95,1721056681.989613,3611,2,1,1.0502009391784668
96,1721056683.039926,3693,2,1,1.0503129959106445
97,1721056684.094705,3611,2,1,1.054779052734375
98,1721056685.147442,3695,2,1,1.0527369976043701
99,1721056686.207657,3611,2,1,1.0602149963378906
100,1721056687.258134,3700,2,1,1.0504767894744873
101,1721056688.307219,3617,2,1,1.0490851402282715
102,1721056689.357021,3701,2,1,1.0498020648956299
103,1721056690.408823,3617,2,1,1.0518019199371338
104,1721056691.462318,3701,2,1,1.053494930267334
105,1721056692.514842,3617,2,1,1.0525240898132324
106,1721056693.564552,3701,2,1,1.0497100353240967
107,1721056694.614477,3617,2,1,1.0499248504638672
108,1721056695.665034,3701,2,1,1.0505571365356445
109,1721056696.721951,3617,2,1,1.0569169521331787
110,1721056697.772077,3701,2,1,1.050126075744629
111,1721056698.82336,3617,2,1,1.0512828826904297
112,1721056699.874757,3701,2,1,1.0513970851898193
113,1721056700.926286,2725,1,1,1.0515289306640625
114,1721056701.984646,3615,2,1,1.0583600997924805
115,1721056703.036328,3701,2,1,1.0516819953918457
116,1721056704.087282,3617,2,1,1.0509538650512695
117,1721056705.139185,3701,2,1,1.0519030094146729
118,1721056706.190128,3617,2,1,1.05094313621521
119,1721056707.240616,3701,2,1,1.050487995147705
120,1721056708.290681,3617,2,1,1.0500648021697998
121,1721056709.341924,3701,2,1,1.0512430667877197
122,1721056710.391991,3617,2,1,1.0500669479370117
123,1721056711.44251,3701,2,1,1.0505189895629883
124,1721056712.493895,3617,2,1,1.0513851642608643
125,1721056713.544913,3701,2,1,1.0510179996490479
126,1721056714.596915,3617,2,1,1.052001953125
127,1721056715.647117,3699,2,1,1.0502018928527832
128,1721056716.69648,3617,2,1,1.049363136291504
129,1721056717.747427,3701,2,1,1.0509469509124756
130,1721056718.79888,3617,2,1,1.0514531135559082
131,1721056719.85033,3701,2,1,1.0514500141143799
132,1721056720.900336,3617,2,1,1.0500059127807617
133,1721056721.952025,3697,2,1,1.0516889095306396
134,1721056723.00174,3617,2,1,1.0497150421142578
135,1721056724.05164,3705,2,1,1.0499000549316406
136,1721056725.103128,3617,2,1,1.051487922668457
137,1721056726.159412,3705,2,1,1.056283950805664
138,1721056727.213894,3617,2,1,1.0544819831848145
139,1721056728.270842,3705,2,1,1.056948184967041
140,1721056729.322163,3617,2,1,1.051321029663086
141,1721056730.372885,3705,2,1,1.0507218837738037
142,1721056731.423897,2725,1,1,1.0510120391845703
143,1721056732.473846,3617,2,1,1.0499489307403564
144,1721056733.523464,3705,2,1,1.0496180057525635
145,1721056734.573995,3617,2,1,1.0505311489105225
146,1721056735.624609,3705,2,1,1.0506138801574707
147,1721056736.676195,3617,2,1,1.0515859127044678
148,1721056737.727904,3705,2,1,1.0517091751098633
149,1721056738.77786,3617,2,1,1.0499558448791504
150,1721056739.827495,3705,2,1,1.0496351718902588
151,1721056740.879023,3617,2,1,1.051527976989746
152,1721056741.930574,3705,2,1,1.0515508651733398
153,1721056742.980996,3617,2,1,1.050421953201294
154,1721056744.035957,3705,2,1,1.0549612045288086
155,1721056745.088712,3617,2,1,1.0527548789978027
156,1721056746.140847,3705,2,1,1.0521349906921387
157,1721056747.192011,3617,2,1,1.051164150238037
158,1721056748.244514,3705,2,1,1.0525028705596924
159,1721056749.294331,3615,2,1,1.0498170852661133
160,1721056750.345892,3703,2,1,1.051560878753662
161,1721056751.396279,3617,2,1,1.0503871440887451
162,1721056752.447546,3705,2,1,1.0512669086456299
163,1721056753.498406,3617,2,1,1.0508599281311035
164,1721056754.550186,3705,2,1,1.0517799854278564
165,1721056755.602105,3617,2,1,1.0519189834594727
166,1721056756.652992,3705,2,1,1.050887107849121
167,1721056757.704145,3617,2,1,1.0511529445648193
168,1721056758.754789,3705,2,1,1.0506441593170166
169,1721056759.807916,3617,2,1,1.0531268119812012
170,1721056760.859494,2725,1,1,1.0515780448913574
171,1721056761.911211,3705,2,1,1.0517170429229736
172,1721056762.961274,3617,2,1,1.050062894821167
173,1721056764.013405,3705,2,1,1.052131175994873
174,1721056765.06432,3617,2,1,1.050915002822876
175,1721056766.114134,3705,2,1,1.049813985824585
176,1721056767.165385,3617,2,1,1.05125093460083
177,1721056768.215672,3705,2,1,1.0502870082855225
178,1721056769.265386,3617,2,1,1.0497140884399414
179,1721056770.32704,3705,2,1,1.0616538524627686
180,1721056771.37989,3615,2,1,1.0528500080108643
181,1721056772.430246,3705,2,1,1.050356149673462
182,1721056773.481275,3617,2,1,1.0510289669036865
183,1721056774.536701,3705,2,1,1.0554258823394775
184,1721056775.587365,3617,2,1,1.050663948059082
185,1721056776.638173,3705,2,1,1.0508081912994385
186,1721056777.687638,3615,2,1,1.0494649410247803
187,1721056778.738476,3705,2,1,1.0508379936218262
188,1721056779.788778,3617,2,1,1.0503020286560059
189,1721056780.839363,3705,2,1,1.0505850315093994
190,1721056781.889684,3615,2,1,1.0503208637237549
191,1721056782.94055,3703,2,1,1.0508661270141602
192,1721056783.992103,3617,2,1,1.0515530109405518
193,1721056785.04228,3705,2,1,1.0501768589019775
194,1721056786.094365,3617,2,1,1.0520849227905273
195,1721056787.147857,3705,2,1,1.0534920692443848
196,1721056788.198293,3617,2,1,1.050436019897461
197,1721056789.249947,3705,2,1,1.0516541004180908
198,1721056790.301291,3617,2,1,1.0513439178466797
199,1721056791.350882,2725,1,1,1.049591064453125
200,1721056792.400989,3703,2,1,1.0501070022583008
201,1721056793.449664,3617,2,1,1.0486750602722168
202,1721056794.500173,3705,2,1,1.050508975982666
203,1721056795.551159,3617,2,1,1.0509858131408691
204,1721056796.604487,3705,2,1,1.053328037261963
205,1721056797.654719,3617,2,1,1.050232172012329
206,1721056798.704387,3705,2,1,1.0496678352355957
207,1721056799.754594,3617,2,1,1.0502071380615234
208,1721056800.813787,3705,2,1,1.0591928958892822
209,1721056801.865083,3617,2,1,1.0512959957122803
210,1721056802.917434,3705,2,1,1.0523509979248047
211,1721056803.967692,3615,2,1,1.050257921218872
212,1721056805.0203,3705,2,1,1.0526080131530762
213,1721056806.073707,3617,2,1,1.0534071922302246
214,1721056807.126065,3703,2,1,1.0523579120635986
215,1721056808.17816,3617,2,1,1.0520949363708496
216,1721056809.228539,3705,2,1,1.0503790378570557
217,1721056810.279026,3617,2,1,1.0504870414733887
218,1721056811.339106,3705,2,1,1.0600800514221191
219,1721056812.390142,3617,2,1,1.0510358810424805
220,1721056813.440829,3705,2,1,1.0506870746612549
221,1721056814.49252,3617,2,1,1.0516910552978516
222,1721056815.544933,3705,2,1,1.052412986755371
223,1721056816.597997,3617,2,1,1.0530638694763184
224,1721056817.64865,3705,2,1,1.0506529808044434
225,1721056818.698293,3617,2,1,1.0496430397033691
226,1721056819.748002,3705,2,1,1.0497090816497803
227,1721056820.797257,2725,1,1,1.0492548942565918
228,1721056821.847964,3617,2,1,1.0507071018218994
229,1721056822.898569,3703,2,1,1.050605058670044
230,1721056823.94893,3617,2,1,1.050360918045044
231,1721056825.000294,3705,2,1,1.0513639450073242
232,1721056826.05908,3617,2,1,1.0587859153747559
233,1721056827.110246,3703,2,1,1.05116605758667
234,1721056828.161658,3617,2,1,1.0514121055603027
235,1721056829.211878,3703,2,1,1.050220012664795
236,1721056830.268244,3617,2,1,1.056365966796875
237,1721056831.319158,3705,2,1,1.0509140491485596
238,1721056832.370813,3617,2,1,1.0516548156738281
239,1721056833.425405,3705,2,1,1.0545921325683594
240,1721056834.487884,3617,2,1,1.062479019165039
241,1721056835.539992,3705,2,1,1.0521080493927002
242,1721056836.589575,3617,2,1,1.0495829582214355
243,1721056837.639758,3703,2,1,1.0501830577850342
244,1721056838.689839,3617,2,1,1.0500807762145996
245,1721056839.739828,3705,2,1,1.0499892234802246
246,1721056840.790435,3617,2,1,1.0506069660186768
247,1721056841.841885,3705,2,1,1.0514500141143799
248,1721056842.893387,3617,2,1,1.051501989364624
249,1721056843.944165,3705,2,1,1.0507779121398926
250,1721056844.995948,3617,2,1,1.0517830848693848
251,1721056846.054711,3705,2,1,1.058763027191162
252,1721056847.106248,3617,2,1,1.0515367984771729
253,1721056848.156971,3705,2,1,1.0507230758666992
254,1721056849.206561,3617,2,1,1.0495901107788086
255,1721056850.257078,2725,1,1,1.0505168437957764
256,1721056851.307293,3705,2,1,1.0502150058746338
257,1721056852.357061,3615,2,1,1.0497679710388184
258,1721056853.406819,3705,2,1,1.0497581958770752
259,1721056854.457252,3617,2,1,1.0504329204559326
260,1721056855.506967,3705,2,1,1.0497150421142578
261,1721056856.558543,3617,2,1,1.0515758991241455
262,1721056857.60964,3705,2,1,1.0510969161987305
263,1721056858.660438,3617,2,1,1.0507981777191162
264,1721056859.712552,3705,2,1,1.0521140098571777
265,1721056860.763608,3617,2,1,1.051055908203125
266,1721056861.814415,3705,2,1,1.050806999206543
267,1721056862.86588,3617,2,1,1.0514650344848633
268,1721056863.915581,3705,2,1,1.0497009754180908
269,1721056864.965493,3617,2,1,1.0499119758605957
270,1721056866.018149,3705,2,1,1.0526559352874756
271,1721056867.075841,3617,2,1,1.057692050933838
272,1721056868.126864,3705,2,1,1.051023006439209
273,1721056869.178487,3617,2,1,1.0516231060028076
274,1721056870.227682,3705,2,1,1.0491950511932373
275,1721056871.278237,3617,2,1,1.0505549907684326
276,1721056872.328373,3705,2,1,1.050135850906372
277,1721056873.377894,3615,2,1,1.0495209693908691
278,1721056874.429249,3705,2,1,1.0513551235198975
279,1721056875.479528,3617,2,1,1.050278902053833
280,1721056876.531741,3705,2,1,1.0522129535675049
281,1721056877.591607,3617,2,1,1.059866189956665
282,1721056878.642608,3705,2,1,1.0510008335113525
283,1721056879.694334,3615,2,1,1.0517261028289795
284,1721056880.74687,2725,1,1,1.0525360107421875
285,1721056881.796869,3705,2,1,1.0499989986419678
286,1721056882.847754,3617,2,1,1.0508849620819092
287,1721056883.899089,3705,2,1,1.051335096359253
288,1721056884.949848,3617,2,1,1.0507588386535645
289,1721056886.002669,3705,2,1,1.052821159362793
290,1721056887.05348,3617,2,1,1.0508108139038086
291,1721056888.11267,3705,2,1,1.059190034866333
292,1721056889.164701,3617,2,1,1.0520310401916504
293,1721056890.215195,3705,2,1,1.0504939556121826
294,1721056891.268063,3617,2,1,1.052868127822876
295,1721056892.318615,3703,2,1,1.0505518913269043
296,1721056893.368902,3617,2,1,1.0502870082855225
297,1721056894.419656,3705,2,1,1.0507540702819824
298,1721056895.471026,3617,2,1,1.0513699054718018
299,1721056896.536549,3705,2,1,1.0655231475830078
300,1721056897.588881,3615,2,1,1.0523319244384766
301,1721056898.656323,3705,2,1,1.0674419403076172
302,1721056899.707733,3617,2,1,1.0514099597930908
303,1721056900.758518,3705,2,1,1.0507850646972656
304,1721056901.81316,3615,2,1,1.0546419620513916
305,1721056902.864644,3705,2,1,1.0514841079711914
306,1721056903.916288,3617,2,1,1.0516438484191895
307,1721056904.966467,3705,2,1,1.0501790046691895
308,1721056906.017652,3617,2,1,1.051185131072998
309,1721056907.069667,3705,2,1,1.0520150661468506
310,1721056908.120706,3617,2,1,1.0510389804840088
311,1721056909.171127,2725,1,1,1.0504209995269775
312,1721056910.220948,3705,2,1,1.049820899963379
313,1721056911.271388,3617,2,1,1.0504400730133057
314,1721056912.322169,3705,2,1,1.050781011581421
315,1721056913.37238,3617,2,1,1.050210952758789
316,1721056914.42296,3705,2,1,1.0505800247192383
317,1721056915.473079,3617,2,1,1.0501189231872559
318,1721056916.524027,3705,2,1,1.050948143005371
319,1721056917.575002,3617,2,1,1.0509748458862305
320,1721056918.625955,3705,2,1,1.0509531497955322
321,1721056919.676931,3617,2,1,1.0509757995605469
322,1721056920.728991,3705,2,1,1.0520601272583008
323,1721056921.780122,3617,2,1,1.051131010055542
324,1721056922.832048,3705,2,1,1.0519258975982666
325,1721056923.883976,3617,2,1,1.0519280433654785
326,1721056924.934242,3705,2,1,1.0502660274505615
327,1721056925.985872,3617,2,1,1.0516300201416016
328,1721056927.03794,3705,2,1,1.0520679950714111
329,1721056928.089117,3617,2,1,1.0511770248413086
330,1721056929.140626,3703,2,1,1.051508903503418
331,1721056930.192954,3617,2,1,1.052328109741211
332,1721056931.24407,3705,2,1,1.0511159896850586
333,1721056932.293889,3617,2,1,1.049818992614746
334,1721056933.346,3705,2,1,1.0521109104156494
335,1721056934.400029,3617,2,1,1.0540289878845215
336,1721056935.453491,3705,2,1,1.053462028503418
337,1721056936.504347,3617,2,1,1.050856113433838
338,1721056937.554555,3705,2,1,1.0502078533172607
339,1721056938.605021,3615,2,1,1.0504660606384277
340,1721056939.654119,2725,1,1,1.049098014831543
341,1721056940.707864,3705,2,1,1.0537450313568115
342,1721056941.757763,3617,2,1,1.0498988628387451
343,1721056942.80939,3705,2,1,1.0516271591186523
344,1721056943.86081,3617,2,1,1.051419973373413
345,1721056944.913055,3705,2,1,1.0522449016571045
346,1721056945.96506,3617,2,1,1.0520050525665283
347,1721056947.016268,3705,2,1,1.0512080192565918
348,1721056948.068876,3617,2,1,1.0526080131530762
349,1721056949.12049,3705,2,1,1.0516140460968018
350,1721056950.173003,3617,2,1,1.0525128841400146
351,1721056951.224219,3705,2,1,1.0512161254882812
352,1721056952.275074,3617,2,1,1.0508549213409424
353,1721056953.326741,3705,2,1,1.0516669750213623
354,1721056954.379885,3617,2,1,1.0531439781188965
355,1721056955.430665,3703,2,1,1.0507800579071045
356,1721056956.481873,3617,2,1,1.0512080192565918
357,1721056957.532287,3705,2,1,1.0504138469696045
358,1721056958.582832,3617,2,1,1.0505452156066895
359,1721056959.633343,3705,2,1,1.0505108833312988
360,1721056960.68521,3617,2,1,1.0518670082092285
361,1721056961.735636,3705,2,1,1.0504260063171387
362,1721056962.787753,3617,2,1,1.052117109298706
363,1721056963.839513,3705,2,1,1.051759958267212
364,1721056964.890037,3617,2,1,1.0505239963531494
365,1721056965.941013,3703,2,1,1.050976037979126
366,1721056966.992622,3615,2,1,1.0516088008880615
367,1721056968.043761,3705,2,1,1.0511391162872314
368,1721056969.096031,3617,2,1,1.0522699356079102
369,1721056970.147246,2725,1,1,1.0512149333953857
370,1721056971.196104,3705,2,1,1.0488581657409668
371,1721056972.247345,3617,2,1,1.0512409210205078
372,1721056973.297404,3705,2,1,1.0500590801239014
373,1721056974.355931,3617,2,1,1.0585269927978516
374,1721056975.407484,3705,2,1,1.0515530109405518
375,1721056976.45873,3617,2,1,1.051245927810669
376,1721056977.510197,3703,2,1,1.051466941833496
377,1721056978.561057,3617,2,1,1.0508601665496826
378,1721056979.6115,3705,2,1,1.0504429340362549
379,1721056980.662775,3617,2,1,1.0512750148773193
380,1721056981.713155,3703,2,1,1.050379991531372
381,1721056982.764378,3617,2,1,1.0512230396270752
382,1721056983.81628,3705,2,1,1.0519018173217773
383,1721056984.868762,3615,2,1,1.0524821281433105
384,1721056985.919062,3705,2,1,1.050299882888794
385,1721056986.970019,3617,2,1,1.050957202911377
386,1721056988.022559,3703,2,1,1.0525398254394531
387,1721056989.073789,3617,2,1,1.0512299537658691
388,1721056990.123297,3705,2,1,1.0495080947875977
389,1721056991.174317,3617,2,1,1.0510199069976807
390,1721056992.224893,3705,2,1,1.0505762100219727
391,1721056993.274645,3617,2,1,1.0497519969940186
392,1721056994.330747,3705,2,1,1.0561017990112305
393,1721056995.380362,3617,2,1,1.0496151447296143
394,1721056996.431413,3705,2,1,1.0510509014129639
395,1721056997.48179,3617,2,1,1.0503771305084229
396,1721056998.532111,3705,2,1,1.0503208637237549
397,1721056999.58129,3617,2,1,1.0491790771484375
398,1721057000.631849,2725,1,1,1.0505590438842773
399,1721057001.682061,3705,2,1,1.0502119064331055
400,1721057002.732391,3617,2,1,1.0503301620483398
401,1721057003.78325,3705,2,1,1.050858974456787
402,1721057004.833386,3617,2,1,1.050135850906372
403,1721057005.883912,3705,2,1,1.0505261421203613
404,1721057006.933655,3617,2,1,1.0497429370880127
405,1721057007.99058,3705,2,1,1.0569250583648682
406,1721057009.040857,3617,2,1,1.0502769947052002
407,1721057010.091494,3705,2,1,1.0506370067596436
408,1721057011.141518,3617,2,1,1.0500240325927734
409,1721057012.206496,3705,2,1,1.0649778842926025
